STRAIN1	STRAIN2	COUNT
JCM22302 MOD1-FUNGI3tJCM22302 MOD1-FUNGI3tJCM22302 MOD1-FUNGI3t204014
JCM22302 IFM_55763tJCM22302 IFM_55763tJCM22302 IFM_55763t211206
JCM22302 NASAJPL_JS3-P2tJCM22302 NASAJPL_JS3-P2tJCM22302 NASAJPL_JS3-P2t191073
JCM22302 IFM_61612tJCM22302 IFM_61612tJCM22302 IFM_61612t207673
JCM22302 RIB2036tJCM22302 RIB2036tJCM22302 RIB2036t209137
JCM22302 NASAJPL_S_N-304-OC-P1tJCM22302 NASAJPL_S_N-304-OC-P1tJCM22302 NASAJPL_S_N-304-OC-P1t195018
JCM22302 JCM22299tJCM22302 JCM22299tJCM22302 JCM22299t203135
JCM22302 IFM_57143tJCM22302 IFM_57143tJCM22302 IFM_57143t208610
MOD1-FUNGI3 CBS_134.48tMOD1-FUNGI3 CBS_134.48tMOD1-FUNGI3 CBS_134.48t73802
JCM22302 JCM22295tJCM22302 JCM22295tJCM22302 JCM22295t241828
JCM22302 NASAJPL_S_N-308-IC-B1tJCM22302 NASAJPL_S_N-308-IC-B1tJCM22302 NASAJPL_S_N-308-IC-B1t208119
JCM22302 NRRL_4875tJCM22302 NRRL_4875tJCM22302 NRRL_4875t204858
JCM22302 RIB2631tJCM22302 RIB2631tJCM22302 RIB2631t206272
JCM22302 NASAJPL_JS3-R1tJCM22302 NASAJPL_JS3-R1tJCM22302 NASAJPL_JS3-R1t179559
JCM22302 NASAJPL_VS_III_B_KN_ttJCM22302 NASAJPL_VS_III_B_KN_ttJCM22302 NASAJPL_VS_III_B_KN_tt208554
JCM22302 IFM_54640tJCM22302 IFM_54640tJCM22302 IFM_54640t209300
JCM22302 IFM_57258tJCM22302 IFM_57258tJCM22302 IFM_57258t240399
JCM22302 WU-2223LtJCM22302 WU-2223LtJCM22302 WU-2223Lt206567
JCM22302 RIB2623tJCM22302 RIB2623tJCM22302 RIB2623t205113
MOD1-FUNGI3 IFM_54640tMOD1-FUNGI3 IFM_54640tMOD1-FUNGI3 IFM_54640t55867
MOD1-FUNGI3 IFM_55763tMOD1-FUNGI3 IFM_55763tMOD1-FUNGI3 IFM_55763t44034
MOD1-FUNGI3 IFM_56815tMOD1-FUNGI3 IFM_56815tMOD1-FUNGI3 IFM_56815t50215
MOD1-FUNGI3 IFM_57143tMOD1-FUNGI3 IFM_57143tMOD1-FUNGI3 IFM_57143t50543
MOD1-FUNGI3 IFM_61612tMOD1-FUNGI3 IFM_61612tMOD1-FUNGI3 IFM_61612t50534
MOD1-FUNGI3 IFM_57258tMOD1-FUNGI3 IFM_57258tMOD1-FUNGI3 IFM_57258t121630
MOD1-FUNGI3 JCM22294tMOD1-FUNGI3 JCM22294tMOD1-FUNGI3 JCM22294t44951
MOD1-FUNGI3 MOD1-FUNGI4tMOD1-FUNGI3 MOD1-FUNGI4tMOD1-FUNGI3 MOD1-FUNGI4t5840
MOD1-FUNGI3 JCM22295tMOD1-FUNGI3 JCM22295tMOD1-FUNGI3 JCM22295t125451
MOD1-FUNGI3 JCM22302tMOD1-FUNGI3 JCM22302tMOD1-FUNGI3 JCM22302t204014
MOD1-FUNGI3 NASAJPL_JS3-R1tMOD1-FUNGI3 NASAJPL_JS3-R1tMOD1-FUNGI3 NASAJPL_JS3-R1t52420
MOD1-FUNGI3 JCM22299tMOD1-FUNGI3 JCM22299tMOD1-FUNGI3 JCM22299t44607
MOD1-FUNGI3 NASAJPL_S_N-302-OC-P2tMOD1-FUNGI3 NASAJPL_S_N-302-OC-P2tMOD1-FUNGI3 NASAJPL_S_N-302-OC-P2t35561
MOD1-FUNGI3 NASAJPL_JS3-P2tMOD1-FUNGI3 NASAJPL_JS3-P2tMOD1-FUNGI3 NASAJPL_JS3-P2t53594
MOD1-FUNGI3 NRRL_4875tMOD1-FUNGI3 NRRL_4875tMOD1-FUNGI3 NRRL_4875t45311
MOD1-FUNGI3 RIB2623tMOD1-FUNGI3 RIB2623tMOD1-FUNGI3 RIB2623t45810
MOD1-FUNGI3 NASAJPL_VS_III_B_KN_ttMOD1-FUNGI3 NASAJPL_VS_III_B_KN_ttMOD1-FUNGI3 NASAJPL_VS_III_B_KN_tt51104
MOD1-FUNGI3 RIB2631tMOD1-FUNGI3 RIB2631tMOD1-FUNGI3 RIB2631t49001
MOD1-FUNGI4 CBS_134.48tMOD1-FUNGI4 CBS_134.48tMOD1-FUNGI4 CBS_134.48t75105
MOD1-FUNGI4 IFM_54640tMOD1-FUNGI4 IFM_54640tMOD1-FUNGI4 IFM_54640t56604
MOD1-FUNGI3 RIB2036tMOD1-FUNGI3 RIB2036tMOD1-FUNGI3 RIB2036t48558
MOD1-FUNGI4 DFAtMOD1-FUNGI4 DFAtMOD1-FUNGI4 DFAt54062
MOD1-FUNGI4 MOD1-FUNGI3tMOD1-FUNGI4 MOD1-FUNGI3tMOD1-FUNGI4 MOD1-FUNGI3t5840
MOD1-FUNGI3 NASAJPL_S_N-304-OC-P1tMOD1-FUNGI3 NASAJPL_S_N-304-OC-P1tMOD1-FUNGI3 NASAJPL_S_N-304-OC-P1t44858
MOD1-FUNGI4 IFM_56815tMOD1-FUNGI4 IFM_56815tMOD1-FUNGI4 IFM_56815t51227
MOD1-FUNGI4 JCM22299tMOD1-FUNGI4 JCM22299tMOD1-FUNGI4 JCM22299t45937
MOD1-FUNGI4 IFM_55763tMOD1-FUNGI4 IFM_55763tMOD1-FUNGI4 IFM_55763t44138
MOD1-FUNGI4 IFM_57258tMOD1-FUNGI4 IFM_57258tMOD1-FUNGI4 IFM_57258t123485
MOD1-FUNGI4 IFM_57143tMOD1-FUNGI4 IFM_57143tMOD1-FUNGI4 IFM_57143t50949
MOD1-FUNGI4 JCM22294tMOD1-FUNGI4 JCM22294tMOD1-FUNGI4 JCM22294t46116
MOD1-FUNGI3 WU-2223LtMOD1-FUNGI3 WU-2223LtMOD1-FUNGI3 WU-2223Lt46730
MOD1-FUNGI3 NASAJPL_S_N-308-IC-B1tMOD1-FUNGI3 NASAJPL_S_N-308-IC-B1tMOD1-FUNGI3 NASAJPL_S_N-308-IC-B1t47951
NASAJPL_JS3-P2 CBS_134.48tNASAJPL_JS3-P2 CBS_134.48tNASAJPL_JS3-P2 CBS_134.48t63807
MOD1-FUNGI4 NASAJPL_S_N-304-OC-P1tMOD1-FUNGI4 NASAJPL_S_N-304-OC-P1tMOD1-FUNGI4 NASAJPL_S_N-304-OC-P1t46584
MOD1-FUNGI4 NASAJPL_JS3-R1tMOD1-FUNGI4 NASAJPL_JS3-R1tMOD1-FUNGI4 NASAJPL_JS3-R1t54417
MOD1-FUNGI4 RIB2036tMOD1-FUNGI4 RIB2036tMOD1-FUNGI4 RIB2036t49037
MOD1-FUNGI4 WU-2223LtMOD1-FUNGI4 WU-2223LtMOD1-FUNGI4 WU-2223Lt47101
MOD1-FUNGI4 NASAJPL_VS_III_B_KN_ttMOD1-FUNGI4 NASAJPL_VS_III_B_KN_ttMOD1-FUNGI4 NASAJPL_VS_III_B_KN_tt51605
MOD1-FUNGI4 NASAJPL_JS3-P2tMOD1-FUNGI4 NASAJPL_JS3-P2tMOD1-FUNGI4 NASAJPL_JS3-P2t55551
NASAJPL_JS3-P2 DFAtNASAJPL_JS3-P2 DFAtNASAJPL_JS3-P2 DFAt37896
MOD1-FUNGI4 IFM_61612tMOD1-FUNGI4 IFM_61612tMOD1-FUNGI4 IFM_61612t51712
MOD1-FUNGI4 JCM22295tMOD1-FUNGI4 JCM22295tMOD1-FUNGI4 JCM22295t127380
MOD1-FUNGI4 NRRL_4875tMOD1-FUNGI4 NRRL_4875tMOD1-FUNGI4 NRRL_4875t46468
NASAJPL_JS3-P2 IFM_57143tNASAJPL_JS3-P2 IFM_57143tNASAJPL_JS3-P2 IFM_57143t59268
NASAJPL_JS3-P2 IFM_55763tNASAJPL_JS3-P2 IFM_55763tNASAJPL_JS3-P2 IFM_55763t61412
NASAJPL_JS3-P2 IFM_56815tNASAJPL_JS3-P2 IFM_56815tNASAJPL_JS3-P2 IFM_56815t58822
NASAJPL_JS3-P2 NASAJPL_JS3-R1tNASAJPL_JS3-P2 NASAJPL_JS3-R1tNASAJPL_JS3-P2 NASAJPL_JS3-R1t24127
NASAJPL_JS3-P2 IFM_54640tNASAJPL_JS3-P2 IFM_54640tNASAJPL_JS3-P2 IFM_54640t61517
MOD1-FUNGI4 NASAJPL_S_N-302-OC-P2tMOD1-FUNGI4 NASAJPL_S_N-302-OC-P2tMOD1-FUNGI4 NASAJPL_S_N-302-OC-P2t37253
MOD1-FUNGI4 RIB2623tMOD1-FUNGI4 RIB2623tMOD1-FUNGI4 RIB2623t46647
MOD1-FUNGI4 RIB2631tMOD1-FUNGI4 RIB2631tMOD1-FUNGI4 RIB2631t49970
NASAJPL_JS3-P2 JCM22299tNASAJPL_JS3-P2 JCM22299tNASAJPL_JS3-P2 JCM22299t56681
NASAJPL_JS3-P2 MOD1-FUNGI4tNASAJPL_JS3-P2 MOD1-FUNGI4tNASAJPL_JS3-P2 MOD1-FUNGI4t55551
MOD1-FUNGI4 NASAJPL_S_N-308-IC-B1tMOD1-FUNGI4 NASAJPL_S_N-308-IC-B1tMOD1-FUNGI4 NASAJPL_S_N-308-IC-B1t48563
NASAJPL_JS3-P2 NASAJPL_S_N-302-OC-P2tNASAJPL_JS3-P2 NASAJPL_S_N-302-OC-P2tNASAJPL_JS3-P2 NASAJPL_S_N-302-OC-P2t47078
NASAJPL_JS3-P2 NASAJPL_VS_III_B_KN_ttNASAJPL_JS3-P2 NASAJPL_VS_III_B_KN_ttNASAJPL_JS3-P2 NASAJPL_VS_III_B_KN_tt59324
NASAJPL_JS3-P2 JCM22294tNASAJPL_JS3-P2 JCM22294tNASAJPL_JS3-P2 JCM22294t57346
MOD1-FUNGI4 JCM22302tMOD1-FUNGI4 JCM22302tMOD1-FUNGI4 JCM22302t206027
NASAJPL_JS3-P2 NRRL_4875tNASAJPL_JS3-P2 NRRL_4875tNASAJPL_JS3-P2 NRRL_4875t56643
NASAJPL_JS3-P2 JCM22295tNASAJPL_JS3-P2 JCM22295tNASAJPL_JS3-P2 JCM22295t116751
NASAJPL_JS3-P2 IFM_57258tNASAJPL_JS3-P2 IFM_57258tNASAJPL_JS3-P2 IFM_57258t113216
NASAJPL_JS3-P2 NASAJPL_S_N-308-IC-B1tNASAJPL_JS3-P2 NASAJPL_S_N-308-IC-B1tNASAJPL_JS3-P2 NASAJPL_S_N-308-IC-B1t59552
NASAJPL_JS3-P2 RIB2036tNASAJPL_JS3-P2 RIB2036tNASAJPL_JS3-P2 RIB2036t59836
NASAJPL_JS3-P2 MOD1-FUNGI3tNASAJPL_JS3-P2 MOD1-FUNGI3tNASAJPL_JS3-P2 MOD1-FUNGI3t53594
NASAJPL_JS3-P2 IFM_61612tNASAJPL_JS3-P2 IFM_61612tNASAJPL_JS3-P2 IFM_61612t59066
NASAJPL_JS3-P2 NASAJPL_S_N-304-OC-P1tNASAJPL_JS3-P2 NASAJPL_S_N-304-OC-P1tNASAJPL_JS3-P2 NASAJPL_S_N-304-OC-P1t52416
NASAJPL_JS3-R1 DFAtNASAJPL_JS3-R1 DFAtNASAJPL_JS3-R1 DFAt24923
NASAJPL_JS3-P2 JCM22302tNASAJPL_JS3-P2 JCM22302tNASAJPL_JS3-P2 JCM22302t191073
NASAJPL_JS3-R1 IFM_54640tNASAJPL_JS3-R1 IFM_54640tNASAJPL_JS3-R1 IFM_54640t59793
NASAJPL_JS3-R1 IFM_57143tNASAJPL_JS3-R1 IFM_57143tNASAJPL_JS3-R1 IFM_57143t58168
NASAJPL_JS3-P2 RIB2623tNASAJPL_JS3-P2 RIB2623tNASAJPL_JS3-P2 RIB2623t57940
NASAJPL_JS3-P2 RIB2631tNASAJPL_JS3-P2 RIB2631tNASAJPL_JS3-P2 RIB2631t45147
NASAJPL_JS3-R1 CBS_134.48tNASAJPL_JS3-R1 CBS_134.48tNASAJPL_JS3-R1 CBS_134.48t58466
NASAJPL_JS3-R1 IFM_61612tNASAJPL_JS3-R1 IFM_61612tNASAJPL_JS3-R1 IFM_61612t57504
NASAJPL_JS3-R1 IFM_56815tNASAJPL_JS3-R1 IFM_56815tNASAJPL_JS3-R1 IFM_56815t57477
NASAJPL_JS3-R1 IFM_55763tNASAJPL_JS3-R1 IFM_55763tNASAJPL_JS3-R1 IFM_55763t60381
NASAJPL_JS3-R1 IFM_57258tNASAJPL_JS3-R1 IFM_57258tNASAJPL_JS3-R1 IFM_57258t105233
NASAJPL_JS3-R1 NASAJPL_S_N-304-OC-P1tNASAJPL_JS3-R1 NASAJPL_S_N-304-OC-P1tNASAJPL_JS3-R1 NASAJPL_S_N-304-OC-P1t48410
NASAJPL_JS3-R1 MOD1-FUNGI3tNASAJPL_JS3-R1 MOD1-FUNGI3tNASAJPL_JS3-R1 MOD1-FUNGI3t52420
NASAJPL_JS3-R1 MOD1-FUNGI4tNASAJPL_JS3-R1 MOD1-FUNGI4tNASAJPL_JS3-R1 MOD1-FUNGI4t54417
NASAJPL_JS3-P2 WU-2223LtNASAJPL_JS3-P2 WU-2223LtNASAJPL_JS3-P2 WU-2223Lt58982
NASAJPL_JS3-R1 JCM22294tNASAJPL_JS3-R1 JCM22294tNASAJPL_JS3-R1 JCM22294t55060
NASAJPL_JS3-R1 NASAJPL_JS3-P2tNASAJPL_JS3-R1 NASAJPL_JS3-P2tNASAJPL_JS3-R1 NASAJPL_JS3-P2t24127
NASAJPL_JS3-R1 NASAJPL_S_N-308-IC-B1tNASAJPL_JS3-R1 NASAJPL_S_N-308-IC-B1tNASAJPL_JS3-R1 NASAJPL_S_N-308-IC-B1t57980
NASAJPL_JS3-R1 RIB2036tNASAJPL_JS3-R1 RIB2036tNASAJPL_JS3-R1 RIB2036t58470
NASAJPL_JS3-R1 JCM22295tNASAJPL_JS3-R1 JCM22295tNASAJPL_JS3-R1 JCM22295t108375
NASAJPL_JS3-R1 NASAJPL_S_N-302-OC-P2tNASAJPL_JS3-R1 NASAJPL_S_N-302-OC-P2tNASAJPL_JS3-R1 NASAJPL_S_N-302-OC-P2t42591
NASAJPL_JS3-R1 JCM22299tNASAJPL_JS3-R1 JCM22299tNASAJPL_JS3-R1 JCM22299t54173
NASAJPL_JS3-R1 WU-2223LtNASAJPL_JS3-R1 WU-2223LtNASAJPL_JS3-R1 WU-2223Lt57298
NASAJPL_JS3-R1 JCM22302tNASAJPL_JS3-R1 JCM22302tNASAJPL_JS3-R1 JCM22302t179559
NASAJPL_S_N-302-OC-P2 CBS_134.48tNASAJPL_S_N-302-OC-P2 CBS_134.48tNASAJPL_S_N-302-OC-P2 CBS_134.48t65217
NASAJPL_JS3-R1 RIB2631tNASAJPL_JS3-R1 RIB2631tNASAJPL_JS3-R1 RIB2631t47697
NASAJPL_JS3-R1 RIB2623tNASAJPL_JS3-R1 RIB2623tNASAJPL_JS3-R1 RIB2623t55950
NASAJPL_JS3-R1 NASAJPL_VS_III_B_KN_ttNASAJPL_JS3-R1 NASAJPL_VS_III_B_KN_ttNASAJPL_JS3-R1 NASAJPL_VS_III_B_KN_tt58070
NASAJPL_JS3-R1 NRRL_4875tNASAJPL_JS3-R1 NRRL_4875tNASAJPL_JS3-R1 NRRL_4875t55059
NASAJPL_S_N-302-OC-P2 DFAtNASAJPL_S_N-302-OC-P2 DFAtNASAJPL_S_N-302-OC-P2 DFAt35102
NASAJPL_S_N-302-OC-P2 IFM_57143tNASAJPL_S_N-302-OC-P2 IFM_57143tNASAJPL_S_N-302-OC-P2 IFM_57143t52289
NASAJPL_S_N-302-OC-P2 IFM_55763tNASAJPL_S_N-302-OC-P2 IFM_55763tNASAJPL_S_N-302-OC-P2 IFM_55763t49879
NASAJPL_S_N-302-OC-P2 IFM_54640tNASAJPL_S_N-302-OC-P2 IFM_54640tNASAJPL_S_N-302-OC-P2 IFM_54640t55634
NASAJPL_S_N-302-OC-P2 IFM_56815tNASAJPL_S_N-302-OC-P2 IFM_56815tNASAJPL_S_N-302-OC-P2 IFM_56815t51782
NASAJPL_S_N-302-OC-P2 IFM_57258tNASAJPL_S_N-302-OC-P2 IFM_57258tNASAJPL_S_N-302-OC-P2 IFM_57258t111165
NASAJPL_S_N-302-OC-P2 JCM22295tNASAJPL_S_N-302-OC-P2 JCM22295tNASAJPL_S_N-302-OC-P2 JCM22295t115080
NASAJPL_S_N-302-OC-P2 IFM_61612tNASAJPL_S_N-302-OC-P2 IFM_61612tNASAJPL_S_N-302-OC-P2 IFM_61612t52079
NASAJPL_S_N-302-OC-P2 JCM22299tNASAJPL_S_N-302-OC-P2 JCM22299tNASAJPL_S_N-302-OC-P2 JCM22299t49923
NASAJPL_S_N-302-OC-P2 JCM22294tNASAJPL_S_N-302-OC-P2 JCM22294tNASAJPL_S_N-302-OC-P2 JCM22294t50525
NASAJPL_S_N-302-OC-P2 NASAJPL_JS3-P2tNASAJPL_S_N-302-OC-P2 NASAJPL_JS3-P2tNASAJPL_S_N-302-OC-P2 NASAJPL_JS3-P2t47078
NASAJPL_S_N-302-OC-P2 MOD1-FUNGI4tNASAJPL_S_N-302-OC-P2 MOD1-FUNGI4tNASAJPL_S_N-302-OC-P2 MOD1-FUNGI4t37253
NASAJPL_S_N-302-OC-P2 MOD1-FUNGI3tNASAJPL_S_N-302-OC-P2 MOD1-FUNGI3tNASAJPL_S_N-302-OC-P2 MOD1-FUNGI3t35561
NASAJPL_S_N-302-OC-P2 NASAJPL_JS3-R1tNASAJPL_S_N-302-OC-P2 NASAJPL_JS3-R1tNASAJPL_S_N-302-OC-P2 NASAJPL_JS3-R1t42591
NASAJPL_S_N-302-OC-P2 JCM22302tNASAJPL_S_N-302-OC-P2 JCM22302tNASAJPL_S_N-302-OC-P2 JCM22302t188567
NASAJPL_S_N-302-OC-P2 NASAJPL_S_N-304-OC-P1tNASAJPL_S_N-302-OC-P2 NASAJPL_S_N-304-OC-P1tNASAJPL_S_N-302-OC-P2 NASAJPL_S_N-304-OC-P1t44858
NASAJPL_S_N-302-OC-P2 RIB2631tNASAJPL_S_N-302-OC-P2 RIB2631tNASAJPL_S_N-302-OC-P2 RIB2631t50658
NASAJPL_S_N-304-OC-P1 IFM_56815tNASAJPL_S_N-304-OC-P1 IFM_56815tNASAJPL_S_N-304-OC-P1 IFM_56815t42702
NASAJPL_S_N-302-OC-P2 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-302-OC-P2 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-302-OC-P2 NASAJPL_VS_III_B_KN_tt53329
NASAJPL_S_N-302-OC-P2 NRRL_4875tNASAJPL_S_N-302-OC-P2 NRRL_4875tNASAJPL_S_N-302-OC-P2 NRRL_4875t47265
NASAJPL_S_N-302-OC-P2 RIB2623tNASAJPL_S_N-302-OC-P2 RIB2623tNASAJPL_S_N-302-OC-P2 RIB2623t51134
NASAJPL_S_N-302-OC-P2 WU-2223LtNASAJPL_S_N-302-OC-P2 WU-2223LtNASAJPL_S_N-302-OC-P2 WU-2223Lt51817
NASAJPL_S_N-304-OC-P1 IFM_57143tNASAJPL_S_N-304-OC-P1 IFM_57143tNASAJPL_S_N-304-OC-P1 IFM_57143t43873
NASAJPL_S_N-302-OC-P2 RIB2036tNASAJPL_S_N-302-OC-P2 RIB2036tNASAJPL_S_N-302-OC-P2 RIB2036t53637
NASAJPL_S_N-302-OC-P2 NASAJPL_S_N-308-IC-B1tNASAJPL_S_N-302-OC-P2 NASAJPL_S_N-308-IC-B1tNASAJPL_S_N-302-OC-P2 NASAJPL_S_N-308-IC-B1t52355
NASAJPL_S_N-304-OC-P1 CBS_134.48tNASAJPL_S_N-304-OC-P1 CBS_134.48tNASAJPL_S_N-304-OC-P1 CBS_134.48t68175
NASAJPL_S_N-304-OC-P1 DFAtNASAJPL_S_N-304-OC-P1 DFAtNASAJPL_S_N-304-OC-P1 DFAt42085
NASAJPL_S_N-304-OC-P1 IFM_61612tNASAJPL_S_N-304-OC-P1 IFM_61612tNASAJPL_S_N-304-OC-P1 IFM_61612t41605
NASAJPL_S_N-304-OC-P1 IFM_54640tNASAJPL_S_N-304-OC-P1 IFM_54640tNASAJPL_S_N-304-OC-P1 IFM_54640t50231
NASAJPL_S_N-304-OC-P1 JCM22299tNASAJPL_S_N-304-OC-P1 JCM22299tNASAJPL_S_N-304-OC-P1 JCM22299t35282
NASAJPL_S_N-304-OC-P1 IFM_55763tNASAJPL_S_N-304-OC-P1 IFM_55763tNASAJPL_S_N-304-OC-P1 IFM_55763t36677
NASAJPL_S_N-304-OC-P1 JCM22294tNASAJPL_S_N-304-OC-P1 JCM22294tNASAJPL_S_N-304-OC-P1 JCM22294t35604
NASAJPL_S_N-304-OC-P1 MOD1-FUNGI3tNASAJPL_S_N-304-OC-P1 MOD1-FUNGI3tNASAJPL_S_N-304-OC-P1 MOD1-FUNGI3t44858
NASAJPL_S_N-304-OC-P1 NRRL_4875tNASAJPL_S_N-304-OC-P1 NRRL_4875tNASAJPL_S_N-304-OC-P1 NRRL_4875t32285
NASAJPL_S_N-304-OC-P1 NASAJPL_JS3-P2tNASAJPL_S_N-304-OC-P1 NASAJPL_JS3-P2tNASAJPL_S_N-304-OC-P1 NASAJPL_JS3-P2t52416
NASAJPL_S_N-304-OC-P1 NASAJPL_S_N-308-IC-B1tNASAJPL_S_N-304-OC-P1 NASAJPL_S_N-308-IC-B1tNASAJPL_S_N-304-OC-P1 NASAJPL_S_N-308-IC-B1t40831
NASAJPL_S_N-304-OC-P1 IFM_57258tNASAJPL_S_N-304-OC-P1 IFM_57258tNASAJPL_S_N-304-OC-P1 IFM_57258t115991
NASAJPL_S_N-304-OC-P1 RIB2631tNASAJPL_S_N-304-OC-P1 RIB2631tNASAJPL_S_N-304-OC-P1 RIB2631t55652
NASAJPL_S_N-308-IC-B1 IFM_56815tNASAJPL_S_N-308-IC-B1 IFM_56815tNASAJPL_S_N-308-IC-B1 IFM_56815t39644
NASAJPL_S_N-304-OC-P1 MOD1-FUNGI4tNASAJPL_S_N-304-OC-P1 MOD1-FUNGI4tNASAJPL_S_N-304-OC-P1 MOD1-FUNGI4t46584
NASAJPL_S_N-304-OC-P1 NASAJPL_JS3-R1tNASAJPL_S_N-304-OC-P1 NASAJPL_JS3-R1tNASAJPL_S_N-304-OC-P1 NASAJPL_JS3-R1t48410
NASAJPL_S_N-304-OC-P1 JCM22295tNASAJPL_S_N-304-OC-P1 JCM22295tNASAJPL_S_N-304-OC-P1 JCM22295t119278
NASAJPL_S_N-308-IC-B1 CBS_134.48tNASAJPL_S_N-308-IC-B1 CBS_134.48tNASAJPL_S_N-308-IC-B1 CBS_134.48t74826
NASAJPL_S_N-308-IC-B1 IFM_55763tNASAJPL_S_N-308-IC-B1 IFM_55763tNASAJPL_S_N-308-IC-B1 IFM_55763t38041
NASAJPL_S_N-304-OC-P1 WU-2223LtNASAJPL_S_N-304-OC-P1 WU-2223LtNASAJPL_S_N-304-OC-P1 WU-2223Lt35646
NASAJPL_S_N-308-IC-B1 IFM_57143tNASAJPL_S_N-308-IC-B1 IFM_57143tNASAJPL_S_N-308-IC-B1 IFM_57143t41614
NASAJPL_S_N-308-IC-B1 IFM_61612tNASAJPL_S_N-308-IC-B1 IFM_61612tNASAJPL_S_N-308-IC-B1 IFM_61612t34850
NASAJPL_S_N-308-IC-B1 JCM22299tNASAJPL_S_N-308-IC-B1 JCM22299tNASAJPL_S_N-308-IC-B1 JCM22299t32782
NASAJPL_S_N-304-OC-P1 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-304-OC-P1 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-304-OC-P1 NASAJPL_VS_III_B_KN_tt44716
NASAJPL_S_N-304-OC-P1 RIB2036tNASAJPL_S_N-304-OC-P1 RIB2036tNASAJPL_S_N-304-OC-P1 RIB2036t37756
NASAJPL_S_N-304-OC-P1 RIB2623tNASAJPL_S_N-304-OC-P1 RIB2623tNASAJPL_S_N-304-OC-P1 RIB2623t35849
NASAJPL_S_N-304-OC-P1 NASAJPL_S_N-302-OC-P2tNASAJPL_S_N-304-OC-P1 NASAJPL_S_N-302-OC-P2tNASAJPL_S_N-304-OC-P1 NASAJPL_S_N-302-OC-P2t44858
NASAJPL_S_N-308-IC-B1 MOD1-FUNGI4tNASAJPL_S_N-308-IC-B1 MOD1-FUNGI4tNASAJPL_S_N-308-IC-B1 MOD1-FUNGI4t48563
NASAJPL_S_N-308-IC-B1 DFAtNASAJPL_S_N-308-IC-B1 DFAtNASAJPL_S_N-308-IC-B1 DFAt56005
NASAJPL_S_N-308-IC-B1 NASAJPL_S_N-302-OC-P2tNASAJPL_S_N-308-IC-B1 NASAJPL_S_N-302-OC-P2tNASAJPL_S_N-308-IC-B1 NASAJPL_S_N-302-OC-P2t52355
NASAJPL_S_N-308-IC-B1 IFM_54640tNASAJPL_S_N-308-IC-B1 IFM_54640tNASAJPL_S_N-308-IC-B1 IFM_54640t45466
NASAJPL_S_N-308-IC-B1 JCM22294tNASAJPL_S_N-308-IC-B1 JCM22294tNASAJPL_S_N-308-IC-B1 JCM22294t32431
NASAJPL_S_N-308-IC-B1 NASAJPL_JS3-P2tNASAJPL_S_N-308-IC-B1 NASAJPL_JS3-P2tNASAJPL_S_N-308-IC-B1 NASAJPL_JS3-P2t59552
NASAJPL_S_N-304-OC-P1 JCM22302tNASAJPL_S_N-304-OC-P1 JCM22302tNASAJPL_S_N-304-OC-P1 JCM22302t195018
NASAJPL_S_N-308-IC-B1 MOD1-FUNGI3tNASAJPL_S_N-308-IC-B1 MOD1-FUNGI3tNASAJPL_S_N-308-IC-B1 MOD1-FUNGI3t47951
NASAJPL_VS_III_B_KN_t CBS_134.48tNASAJPL_VS_III_B_KN_t CBS_134.48tNASAJPL_VS_III_B_KN_t CBS_134.48t76460
NASAJPL_S_N-308-IC-B1 IFM_57258tNASAJPL_S_N-308-IC-B1 IFM_57258tNASAJPL_S_N-308-IC-B1 IFM_57258t125119
NASAJPL_S_N-308-IC-B1 NASAJPL_S_N-304-OC-P1tNASAJPL_S_N-308-IC-B1 NASAJPL_S_N-304-OC-P1tNASAJPL_S_N-308-IC-B1 NASAJPL_S_N-304-OC-P1t40831
NASAJPL_S_N-308-IC-B1 JCM22302tNASAJPL_S_N-308-IC-B1 JCM22302tNASAJPL_S_N-308-IC-B1 JCM22302t208119
NASAJPL_S_N-308-IC-B1 NRRL_4875tNASAJPL_S_N-308-IC-B1 NRRL_4875tNASAJPL_S_N-308-IC-B1 NRRL_4875t40710
NASAJPL_S_N-308-IC-B1 RIB2623tNASAJPL_S_N-308-IC-B1 RIB2623tNASAJPL_S_N-308-IC-B1 RIB2623t32325
NASAJPL_S_N-308-IC-B1 JCM22295tNASAJPL_S_N-308-IC-B1 JCM22295tNASAJPL_S_N-308-IC-B1 JCM22295t129374
NASAJPL_S_N-308-IC-B1 RIB2036tNASAJPL_S_N-308-IC-B1 RIB2036tNASAJPL_S_N-308-IC-B1 RIB2036t36616
NASAJPL_VS_III_B_KN_t IFM_54640tNASAJPL_VS_III_B_KN_t IFM_54640tNASAJPL_VS_III_B_KN_t IFM_54640t43734
NASAJPL_VS_III_B_KN_t IFM_56815tNASAJPL_VS_III_B_KN_t IFM_56815tNASAJPL_VS_III_B_KN_t IFM_56815t24387
NASAJPL_S_N-308-IC-B1 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-308-IC-B1 NASAJPL_VS_III_B_KN_ttNASAJPL_S_N-308-IC-B1 NASAJPL_VS_III_B_KN_tt42071
NASAJPL_VS_III_B_KN_t DFAtNASAJPL_VS_III_B_KN_t DFAtNASAJPL_VS_III_B_KN_t DFAt56604
